sample_id,policy_action,policy_label,policy_lane,decision_reason,selection_group,selection_seed,swap_model,tier,identity_delta,original_video_name,in_cropped_bucket,in_frames_bucket,in_teams_pair_complete
visomaster_CSCS_00000,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.127900,trimmed_cropped_JULz1dezu-s.mp4,True,True,True
visomaster_CSCS_00001,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.222200,trimmed_cropped_DSayPAb8-b8.mp4,True,True,True
visomaster_CSCS_00002,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.096900,trimmed_cropped_9t94RN40L_s.mp4,True,True,True
visomaster_CSCS_00003,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.096500,trimmed_cropped_WAbRtMCb4I0.mp4,True,True,True
visomaster_CSCS_00004,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.151900,trimmed_cropped_KuNZGuT40Ic.mp4,True,True,True
visomaster_CSCS_00005,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.123200,trimmed_cropped_-Hncgh4lHIo.mp4,True,True,True
visomaster_CSCS_00006,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.177500,trimmed_cropped_YyHazZTal0k.mp4,True,True,True
visomaster_CSCS_00007,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.066500,trimmed_cropped_CSMrieEnaZ4.mp4,True,True,True
visomaster_CSCS_00008,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.166000,trimmed_cropped_L8BH1Fn_yWs.mp4,True,True,True
visomaster_CSCS_00009,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.154000,trimmed_cropped_bBg-PjjUFO8.mp4,True,True,True
visomaster_CSCS_00010,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.186400,trimmed_cropped_e8f1ZoYg8O8.mp4,True,True,True
visomaster_CSCS_00011,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.099100,trimmed_cropped_WNZtrw7wMEQ.mp4,True,True,True
visomaster_CSCS_00012,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,STRONG,0.446300,trimmed_cropped_d_36ke5uXMk.mp4,True,True,True
visomaster_CSCS_00013,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.134300,trimmed_cropped_OsUzw_UitmQ.mp4,True,True,True
visomaster_CSCS_00014,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.195700,trimmed_cropped_gGpI7qdJm6w.mp4,True,True,True
visomaster_CSCS_00015,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.169800,trimmed_cropped_R47tX-ql_Is.mp4,True,True,True
